city,area,altitude,pollution,wind,mintemp,maxtemp,meantemp,minhumid,maxhumid,rainy,meanrain,outlook
AjxUs,Mid,691.5,13.3,SW,17.5,27.0,22.25,38.315043400987214,29.023395111128515,,0,rainy
TcGbq,High,2010.6,6.5,E,17.3,26.8,22.05,29.725943593819284,51.535734888890815,,0,sunny
IYRCw,High,701.3,42.6,N,19.2,33.7,26.450000000000003,47.97679259578957,44.93471698350611,,0,sunny
goyEs,Mid,2167.9,13.2,SW,15.7,45.0,30.35,28.035378240371053,71.4335243104768,,0,overcast
srjUI,Mid,792.6,22.5,E,16.5,44.4,30.45,49.42447127762451,57.56773367125165,,0,rainy
DtBJQ,High,999.2,7.3,NE,18.4,34.3,26.349999999999998,42.98333698201131,29.486671065355843,,0,overcast
XqHWI,Mid,2488.1,28.0,S,15.4,26.1,20.75,37.59225034092065,68.53786909356788,,0,sunny
mCjQa,High,1806.7,3.0,E,15.1,40.0,27.55,41.50832787648134,62.32808276202232,,0,sunny
GJYhN,High,1721.9,16.6,NE,17.3,43.4,30.35,12.612108911946674,52.703656954819536,,0,sunny
rhmfi,Mid,2320.0,36.7,N,16.5,28.0,22.25,45.88341185564271,32.02519452483225,,0,sunny
hMSPF,Low,2040.0,43.4,SW,16.3,35.8,26.049999999999997,35.94317837884695,76.70938244645161,,0,rainy
sIPHo,High,2189.5,29.4,SW,16.4,41.3,28.849999999999998,1.373074506877295,21.001157515414626,,0,sunny
mlXFN,High,896.2,46.4,S,19.4,34.0,26.7,16.293379244538805,23.203214039187422,,0,sunny
cagmR,Mid,1415.8,9.0,SW,18.4,26.2,22.299999999999997,44.15149444836001,44.62512675599474,,0,sunny
KHhZA,Low,2349.1,49.6,NE,17.1,34.1,25.6,41.73816615003085,61.761910333857905,,0,overcast
nKgRM,Low,2140.3,35.3,E,15.1,32.9,24.0,21.443810068596214,77.3696254769849,,0,sunny
IKNFb,Low,682.5,8.6,W,15.9,34.6,25.25,37.20361457658352,67.12594272556507,,0,sunny
prFsJ,High,501.3,45.0,NE,15.2,44.7,29.950000000000003,21.299399334707335,72.28365873825413,,0,sunny
PLyuN,Low,1736.2,28.4,W,17.8,26.7,22.25,3.218506934327896,69.20023585884553,,0,rainy
IHcwV,Low,2033.5,12.1,E,15.8,39.3,27.549999999999997,41.108983352094896,69.9915644151271,,0,overcast
hZRVv,Low,1634.1,39.8,N,15.0,25.5,20.25,44.7134180017291,96.79385167266562,,0,sunny
ULfKl,Mid,1229.7,35.7,NE,18.6,32.5,25.55,25.048079064627014,15.727018692023723,,0,rainy
vwmDZ,Low,2405.8,27.9,E,15.8,26.4,21.1,49.34803239817166,78.31158349400852,,0,sunny
ETGjf,High,1304.2,11.8,N,15.9,41.5,28.7,34.86593203405474,64.77232766382957,,0,rainy
lUGOK,Low,732.8,6.0,W,15.4,38.0,26.7,39.91091501147875,44.04937286014889,,0,sunny
Twhvi,Low,692.2,4.6,N,17.0,43.3,30.15,11.986850070065975,38.01076984540802,,0,rainy
OCLhi,Low,2170.1,24.4,E,16.7,33.1,24.9,1.8280368942020995,76.93369695839709,,0,rainy
zUslT,Low,930.5,40.5,E,16.3,39.0,27.65,38.256623499824734,63.50701792429167,,0,sunny
FsqyD,Mid,515.1,11.3,NE,16.8,42.9,29.85,44.23828310750203,47.44632767757087,,0,rainy
WSTUG,High,2280.5,21.4,SW,15.6,36.8,26.2,20.7157360020147,35.829596884638875,,0,sunny
yfFpQ,High,1175.3,39.0,SW,20.0,44.8,32.4,3.389149184428716,36.05998898783991,,0,overcast
eYlof,Low,2254.3,46.9,E,17.5,26.2,21.85,47.34918153100108,76.77674683345452,,0,overcast
OZVLW,High,1804.5,25.8,E,17.8,32.1,24.950000000000003,3.956516983440107,74.03346758487123,,0,rainy
ReplE,Mid,1299.2,39.4,E,16.5,28.8,22.65,28.814807563512026,67.65484631182241,,0,sunny
UbKkr,High,1555.6,36.2,SW,19.2,32.0,25.6,42.57198282771718,87.27991898547366,,0,sunny
aPzqR,Mid,2297.8,21.4,W,17.4,42.4,29.9,5.63280058138653,61.242753812886825,,0,overcast
SDEjJ,High,583.2,32.4,S,17.0,34.5,25.75,30.957082406679294,75.70179593833885,,0,sunny
zVHPW,High,2090.5,47.5,W,16.4,26.1,21.25,37.456051768656394,38.2124829729038,,0,sunny
EDPcV,Low,1699.8,5.6,NE,16.7,43.3,30.0,41.65141279261576,30.885242495801673,,0,overcast
ibMsZ,High,1663.0,18.3,E,19.2,32.6,25.9,11.975494477033772,35.11085017734001,,0,rainy
RdxYC,Mid,1574.7,2.9,N,16.5,38.1,27.3,35.9906392501638,53.90859523165024,,0,rainy
TkMON,Low,1849.2,24.5,W,15.6,32.4,24.0,35.70471936901545,44.34575103926457,,0,overcast
KrSaI,Low,1478.3,23.7,S,15.3,42.1,28.700000000000003,41.50532390764242,18.99684704471963,,0,overcast
MfQsD,Low,1059.8,28.0,W,16.1,26.1,21.1,46.79403684716335,36.92820470886251,,0,overcast
xbDXo,Low,2289.9,36.6,NE,16.3,35.7,26.0,2.0588440097483094,73.63933024947154,,0,overcast
wCjrM,High,882.3,31.5,N,19.9,32.3,26.099999999999998,14.00463716911039,82.15542377942067,,0,sunny
KXipB,Low,1372.4,7.0,SW,16.3,38.6,27.450000000000003,15.339398119091323,47.7436364883282,,0,rainy
AjIyD,Mid,2252.7,1.8,W,18.3,41.0,29.65,36.18475459573792,46.93263496521709,,0,sunny
UxrRi,Low,1157.6,37.0,S,19.1,37.7,28.400000000000002,12.019467343635396,81.43003523714606,,0,overcast
IBjcn,Mid,870.8,37.6,NE,15.2,33.6,24.4,14.869892914188485,35.75081792898683,,0,sunny
oJuwW,Low,1010.8,16.2,SW,19.5,38.7,29.1,33.191688857497894,68.35603840608297,,0,overcast
ZaWKE,High,2444.8,29.1,E,15.7,36.4,26.049999999999997,40.57490734275904,36.52393749192597,,0,overcast
NhKLb,Mid,712.2,11.9,E,19.1,35.2,27.150000000000002,40.92521681354496,26.60197744897153,,0,rainy
eDzod,Mid,1945.9,29.2,E,19.8,44.2,32.0,7.337601363403604,46.92176024901849,,0,sunny
DZlJY,High,1718.2,2.0,W,16.7,25.2,20.95,35.0670547234881,81.34775435775275,,0,overcast
GdyuD,Mid,1612.2,4.8,SW,15.5,27.9,21.7,30.338886891152047,47.14176505596886,,0,overcast
CDPHa,Low,2410.1,45.6,N,19.0,31.3,25.15,9.61936534356193,98.31386562340074,,0,overcast
Wtegx,Mid,1766.0,27.0,SW,19.0,38.0,28.5,8.888898819871349,91.79596819911242,,0,sunny
qGulN,High,2326.9,29.1,W,17.1,35.0,26.05,1.9920437134302689,71.73002135274578,,0,rainy
cvTGV,High,2427.6,3.3,N,15.3,41.2,28.25,15.38337716987346,66.00145056247018,,0,sunny
ZXCOJ,Low,899.9,6.2,NE,19.1,31.7,25.4,18.850991607058358,43.14415064018377,,0,rainy
QCwSa,Low,780.5,4.6,S,18.4,38.8,28.599999999999998,38.81069893665741,58.882340803056145,,0,rainy
tnOzf,Mid,1629.4,36.6,S,18.9,27.2,23.049999999999997,27.26369817742153,75.73389432339692,,0,sunny
fzSpE,Mid,2201.6,10.8,N,19.6,26.2,22.9,43.64516775289814,24.43778254735783,,0,rainy
iraoT,High,1376.4,29.1,S,15.0,40.5,27.75,46.75284476249687,30.267061873184737,,0,overcast
KBsbp,Low,1373.4,3.2,S,17.0,36.3,26.65,17.95312628923445,29.58085454986869,,0,rainy
JNpys,High,1334.2,34.2,N,19.4,32.9,26.15,13.966915319353438,15.359046321618067,,0,sunny
SkPqe,Mid,1323.8,34.9,SW,18.1,26.7,22.4,25.65215095896758,29.402025427933864,,0,sunny
yPDfS,High,608.6,4.9,E,15.2,38.0,26.6,22.608818859595793,46.63622728583537,,0,overcast
PEnsc,Low,1933.3,13.8,W,17.1,44.9,31.0,43.045704726015984,61.465988122810415,,0,sunny
mLTxU,High,2193.2,1.2,W,19.6,39.9,29.75,27.409113314262502,79.08943301787845,,0,rainy
dZJSt,High,968.5,28.0,W,19.0,25.4,22.2,1.4724906160300009,80.76509222479892,,0,sunny
nyEuV,Mid,2327.2,29.4,S,17.1,43.1,30.1,36.67328422655822,95.0301570886931,,0,rainy
IiXae,High,956.8,47.2,S,16.9,34.6,25.75,12.653175483700483,41.42636021175515,,0,sunny
ZAPdM,Low,1192.3,14.6,E,19.2,42.4,30.799999999999997,38.91347707211784,66.20807327671743,,0,rainy
glasd,Low,1942.7,21.2,E,19.5,42.4,30.95,8.821095176352234,74.52784160636773,,0,rainy
nBNGu,Mid,2025.4,23.7,W,15.3,39.6,27.450000000000003,41.21434095659697,52.95449586700485,,0,sunny
xMGYT,High,1327.3,35.3,SW,16.9,40.6,28.75,5.253778132000499,37.92459992721791,,0,overcast
ijUIX,Low,1028.1,35.1,E,15.3,28.3,21.8,25.979046175145932,25.410005543833762,,0,sunny
ILfOa,High,2445.4,16.3,SW,19.3,41.7,30.5,20.213071667984877,77.98367021355531,,0,sunny
ptCvP,High,2425.2,39.1,W,15.0,31.1,23.05,20.30681780908754,47.273571436471954,,0,rainy
JLGvK,High,652.2,11.7,N,15.2,25.3,20.25,44.00099956220698,88.1441366662704,,0,overcast
EAtHr,Low,2054.0,29.2,S,17.0,42.1,29.55,16.0536772659092,50.69673353968928,,0,sunny
Ujfht,High,2434.2,32.8,N,15.8,30.7,23.25,32.246542967228805,51.24439238422071,,0,rainy
ZYLxo,High,2470.9,6.5,E,19.5,37.1,28.3,40.14909118198952,34.03022052115686,,0,sunny
vgkct,Mid,2439.7,27.2,S,19.8,43.9,31.85,35.78773333591747,76.77469468102476,,0,rainy
UqwDv,Low,1703.6,31.7,W,17.1,37.7,27.400000000000002,3.671976695569958,22.398493051717104,,0,sunny
Kchpu,Mid,1907.0,13.1,E,15.6,29.7,22.65,10.968780341613277,88.45883188759761,,0,overcast
DkKFP,Low,2497.1,22.6,N,17.5,38.1,27.8,1.3867677871814466,97.87688479495706,,0,sunny
NeWUQ,Mid,541.7,46.8,E,15.3,36.2,25.75,43.688918343403266,95.18498480420982,,0,sunny
lvhKg,Low,1901.2,41.2,N,19.8,29.0,24.4,13.313779839557107,48.496418458023065,,0,rainy
VWfzt,Mid,737.6,7.5,NE,15.5,37.5,26.5,6.9410997609994975,94.15593120829575,,0,sunny
IkcNV,Low,2081.2,10.5,N,15.3,39.7,27.5,11.326663582608417,15.139585321295595,,0,sunny
EIKpi,High,1336.5,11.3,SW,19.6,28.5,24.05,43.50702869165674,67.48776332919829,,0,rainy
HqAFW,Low,2118.7,48.7,E,17.8,43.4,30.6,11.294127385973862,24.720340375090274,,0,sunny
Jkabc,Mid,1829.0,27.9,W,19.8,28.7,24.25,25.319828948501144,88.22494301727045,,0,rainy
TKHyx,High,2212.4,1.6,SW,19.3,44.2,31.75,25.22785769437898,94.32242631553301,,0,rainy
AqUhL,Mid,630.0,11.3,NE,19.3,26.9,23.1,29.847361264424727,78.34719287779987,,0,sunny
axyqp,Mid,1461.7,2.3,E,16.0,40.2,28.1,26.32913777831918,55.89437072357563,,0,sunny
kCGqK,High,1160.4,48.6,W,17.5,25.2,21.35,33.41583325708193,84.82310073864632,,0,sunny
nZtoM,High,1522.4,14.8,W,16.1,31.2,23.65,39.534295149662995,22.566417096683193,,0,sunny
EIDKv,Low,2133.5,49.0,N,15.1,26.6,20.85,32.179529161925615,75.67845812813255,,0,sunny
rUAGE,High,1692.9,26.4,S,15.5,29.0,22.25,41.55971789153211,54.62379317543077,,0,sunny
UzETm,Low,2057.2,2.3,N,19.9,31.9,25.9,11.264545071574487,19.856597042853544,,0,sunny
tsCAN,High,740.9,2.1,W,16.4,29.3,22.85,48.326521784454776,83.57324271522072,,0,sunny
ZteQm,Mid,2198.2,27.0,N,15.5,32.5,24.0,8.386118836081328,98.66534445399634,,0,rainy
wQfcK,High,536.6,21.7,W,16.2,41.3,28.75,18.96776717419635,45.89111745875529,,0,rainy
kUqAY,High,1578.2,8.1,N,17.4,29.6,23.5,29.785151176369702,94.15485267761537,,0,sunny
sDSJH,Low,1131.3,9.7,NE,15.1,30.8,22.95,11.629187906099407,45.52336086344954,,0,sunny
wXlsR,High,2126.0,32.7,E,18.9,25.4,22.15,3.3310528830950092,41.69537268686837,,0,sunny
tHuUV,Mid,928.8,27.3,NE,17.5,34.6,26.05,19.420015961284193,55.24610359596175,,0,overcast
aDlQo,High,1031.5,27.6,E,18.7,27.3,23.0,23.845589164190315,70.63968834672563,,0,overcast
gfzEe,High,904.1,33.5,SW,19.9,33.4,26.65,32.16793122332663,40.25611516218613,,0,overcast
truYG,Low,2210.1,7.9,NE,15.2,28.9,22.049999999999997,33.15495702265649,46.724056686873524,,0,overcast
VfDvi,Low,1587.9,45.8,E,18.9,26.9,22.9,48.54931077755205,34.422187500588024,,0,overcast
dRigl,Low,1640.3,24.9,NE,18.0,43.8,30.9,34.713100749763356,94.33942209441894,,0,sunny
XKsZm,Mid,792.6,42.0,E,19.3,34.5,26.9,32.8541004832032,37.739778528119956,,0,sunny
SZICb,Mid,2289.8,11.5,SW,17.2,33.7,25.450000000000003,21.6192998803766,63.48574417720351,,0,sunny
fojIe,Low,835.6,44.4,SW,17.0,30.6,23.8,33.687063603443015,38.73553680957057,,0,sunny
kwROz,Mid,748.9,40.2,NE,19.2,37.3,28.25,5.817087991217298,82.84577178654521,,0,sunny
wPqLA,High,1633.8,18.6,E,19.3,27.8,23.55,13.412779220083891,52.89009203296477,,0,overcast
bRSJU,Mid,2315.6,42.5,NE,17.6,32.0,24.8,27.35414213258798,75.7158458173683,,0,rainy
wWRAm,High,1008.1,41.5,SW,15.5,28.1,21.8,46.755227740223866,46.876758599168184,,0,rainy
pbnYI,Low,1121.9,15.1,N,18.1,35.4,26.75,16.212939486801222,77.04758005050516,,0,rainy
sZkTD,Low,844.2,33.4,NE,19.0,33.7,26.35,23.427073201024484,55.4019024316374,,0,rainy
MJIfO,Low,699.6,49.0,S,15.2,34.2,24.700000000000003,11.61370137365128,77.7429086232016,,0,sunny
XCPcm,Mid,1623.4,31.5,E,16.5,43.0,29.75,46.67815942655198,26.76299591638679,,0,sunny
YJGhq,Mid,846.5,29.4,N,17.4,40.9,29.15,33.976366674426885,41.57348645899718,,0,overcast
vaJqb,Mid,1924.6,21.4,NE,19.1,34.0,26.55,15.475609658002137,28.41078990098236,,0,overcast
CHywT,Mid,737.7,35.5,SW,16.1,34.6,25.35,39.516074618575594,73.2006696690666,,0,rainy
bNxeH,Low,2109.9,35.6,W,17.5,30.5,24.0,22.54943679295321,38.38563008034403,,0,sunny
wUaWe,High,2095.1,46.3,N,17.3,32.0,24.65,48.29268821108014,69.7035380440414,,0,sunny
SREtV,Low,1476.9,44.0,SW,19.7,35.7,27.700000000000003,23.546791412976642,27.43570684702852,,0,rainy
nwZsI,Low,1777.1,33.7,E,19.3,30.1,24.700000000000003,24.756921023137423,60.12109733739537,,0,overcast
yhlat,High,859.8,38.0,E,15.4,37.0,26.2,39.53750659936018,82.99014497398134,,0,overcast
AwGjL,Low,1963.3,19.3,S,15.9,44.0,29.95,17.569458190400727,55.63092383727546,,0,sunny
INdaU,Low,1254.2,23.1,NE,17.6,33.2,25.400000000000002,42.68377898855321,37.325882709217375,,0,overcast
qBKti,Mid,1213.4,6.9,NE,16.1,31.5,23.8,23.841695746741898,59.459166526053444,,0,rainy
iUwZW,Mid,2235.3,9.3,N,19.4,38.1,28.75,45.002903582089445,68.3998134300507,,0,sunny
gsSCH,Mid,972.1,45.7,SW,17.0,28.9,22.95,1.6430831523660248,48.25963433356512,,0,overcast
TdFXP,Low,2246.5,5.7,E,17.3,40.4,28.85,18.00216301705121,60.61333600701636,,0,overcast
iutxk,Mid,1213.5,11.9,SW,16.0,43.3,29.65,43.923911734181225,67.958163246738,,0,sunny
wNXRa,Low,1298.9,25.8,N,19.4,26.7,23.049999999999997,29.91414267706243,42.002727941475044,,0,sunny
bscEH,Mid,898.2,39.5,E,17.9,40.7,29.3,8.76227830878147,71.1200243409804,,0,sunny
HdxmJ,High,914.0,25.2,SW,18.4,29.5,23.95,9.338320811963747,96.9301202024841,,0,rainy
tRolN,High,1776.0,38.8,N,15.2,31.1,23.15,14.348387774404818,53.05769594828527,,0,sunny
flYUX,High,593.6,42.2,SW,15.6,28.9,22.25,18.66450829122447,87.21216475741767,,0,rainy
xUYtb,High,1269.8,33.2,S,18.6,41.6,30.1,30.27681803676886,50.22575219557743,,0,rainy
Apqiy,Low,2391.4,9.0,NE,15.5,38.5,27.0,15.207188972981173,96.56922245958116,,0,rainy
aDNny,Mid,641.9,6.0,N,19.3,38.5,28.9,14.726860575427029,36.20965462024367,,0,rainy
XaKqO,Mid,1614.0,46.1,W,18.9,40.7,29.8,29.175808864361535,24.133237303551773,,0,overcast
noDxT,Mid,1857.3,19.2,N,17.2,37.3,27.25,26.107888433666417,38.40932298947406,,0,overcast
KoDkP,Low,2308.8,23.1,S,16.4,39.0,27.7,43.20643579952386,30.9139042336076,,0,rainy
gApkz,Low,601.9,23.9,SW,19.9,33.8,26.849999999999998,46.18502301187486,71.83061065262741,,0,sunny
wzhqD,Mid,903.9,24.6,E,18.2,36.5,27.35,32.58125129207927,54.57210544658441,,0,overcast
feyXq,Mid,837.1,28.0,W,19.3,30.0,24.65,7.395426654514542,66.60297825606628,,0,rainy
Jwxia,High,1728.9,22.5,E,18.4,31.7,25.049999999999997,18.576779097944993,49.436973801511414,,0,overcast
zFrQH,Mid,743.5,31.6,W,15.1,30.9,23.0,7.4358255997064955,95.26944010444558,,0,rainy
qgTCD,Low,1663.6,27.9,E,16.4,25.5,20.95,37.00725155293,41.482856568923985,,0,sunny
QowcX,Mid,1977.5,40.3,NE,18.1,30.2,24.15,27.59421666786524,82.86174143532222,,0,overcast
YfmZC,Mid,1888.4,2.0,S,17.4,29.9,23.65,11.599300093438588,55.42101806173838,,0,overcast
sgdZj,Mid,2195.5,46.8,E,16.0,39.2,27.6,37.14960283067073,30.914693498141666,,0,rainy
uqcFy,High,2481.2,33.9,W,19.5,42.5,31.0,6.545216122449785,33.10971474603639,,0,sunny
BVHvC,Low,1297.2,15.7,SW,15.9,26.2,21.05,5.571488015263631,42.93176390020959,,0,sunny
JAwpY,Mid,1889.1,21.3,N,18.8,30.5,24.65,47.929236044431235,60.56559178764303,,0,sunny
cozFH,High,2363.6,24.0,NE,17.0,42.8,29.9,6.393038285181987,72.70138818560208,,0,rainy
YsQnw,Mid,1114.0,31.7,E,16.6,25.4,21.0,5.633832885909301,85.04887213803069,,0,rainy
chAgV,High,1897.6,7.8,NE,16.3,30.3,23.3,36.53141446815768,30.820748585678352,,0,overcast
VrPvK,High,1197.5,14.9,W,18.8,32.9,25.85,36.17858466462266,75.45567612986915,,0,rainy
skYxe,Low,1112.3,41.0,NE,17.6,35.4,26.5,24.743766969953466,83.56065847203375,,0,overcast
dDIsj,Mid,584.5,6.1,W,16.9,44.6,30.75,15.817322931098403,51.14675258212849,,0,overcast
LDvNy,Mid,577.4,33.1,E,15.5,39.6,27.55,43.091277757433005,53.48879387891966,,0,sunny
WovRe,Mid,1675.3,29.2,SW,15.1,25.3,20.2,2.3460726362003803,32.09123565576276,,0,sunny
sFQro,Mid,2250.6,5.7,S,16.4,27.8,22.1,42.846637625274326,75.25417051003926,,0,rainy
tGkLy,High,1327.7,45.7,SW,17.0,29.8,23.4,28.256635628732603,27.583987363965626,,0,sunny
ulOKa,High,1715.6,10.8,S,15.6,27.5,21.55,9.397548564249384,32.27446800098505,,0,overcast
GMwJx,High,1468.5,21.4,W,15.2,39.6,27.4,41.32263539807513,90.2588661450124,,0,sunny
